source_pid	source_ptitle	target_pid	target_ptitle	mean_score
71	Москва	39485	Московский_Кремль	100.0
5723	Путин,_Владимир_Владимирович	71	Москва	98.8333
3105770	Шанхайский_художественный_музей	14545	Шанхай	98.4
109	Азия	1134	Китай	97.4
60	Греция	11749	Олимп	96.8
21116	Гай_Юлий_Цезарь	46856	Древнеримская_армия	96.75
50641	Лувр	6214	Париж	96.6667
550	Иван_Грозный	9	Россия	96.3333
34409	Тигр_(река)	122616	Евфрат	96.2
2881	Мюнхен	223083	Бавария_(футбольный_клуб)	95.8
9	Россия	4289	Московский_метрополитен	95.1667
75	Волга	21246	Днепр	94.75
2478	Нью-Йорк	786334	Нью-Йорк_Янкис	94.6667
911148	Сент-Хеленс	78234	Вашингтон_(штат)	94.4
90857	Клеопатра	46841	Рамсес_II	94.0
690306	Замок_Химэдзи	1472	Япония	93.25
131837	Джордан,_Майкл	267910	Национальная_баскетбольная_ассоциация	93.0
2800	Ирак	2799	Иран	93.0
2799	Иран	1099968	Тегеранский_университет	93.0
12702	Хирохито	10084	Токио	92.0
10342	Англия	74819	Кембриджский_университет	92.0
17205	Реал_Мадрид_(футбольный_клуб)	53848	Барселона_(футбольный_клуб)	91.8333
93364	Нью-Джерси	47597	Принстонский_университет	91.8
59078	Обама,_Барак	59631	Клинтон,_Хиллари	91.6
65	Италия	273521	Ватиканский_холм	91.1667
245418	Месси,_Лионель	148098	ФИФА	90.6667
59078	Обама,_Барак	59085	Маккейн,_Джон	89.6667
53599	Блэр,_Тони	110	Великобритания	89.6667
145324	Рейган,_Рональд	59078	Обама,_Барак	89.5
31425	Король_Артур	10342	Англия	88.8333
1263129	Лорен,_Ральф	776549	Лагерфельд,_Карл	88.1667
53701	Ахилл	18321	Афины	88.0
24676	Рузвельт,_Франклин_Делано	145324	Рейган,_Рональд	88.0
3533763	Голубой_хребет	791457	Катскилл_(горы)	88.0
623469	Музеи_Ватикана	54900	Католическая_церковь	87.8
1218	Аристотель	60	Греция	87.5
180117	Вильсон,_Вудро	163565	Картер,_Джимми	86.8333
71	Москва	75	Волга	86.8333
138382	Питт,_Брэд	35157	Ди_Каприо,_Леонардо	86.8
361543	Керри,_Джон	67936	Чейни,_Дик	86.6
184	Дания	107	Европа	86.5
3903840	Шанхай_Шаркс	355273	Финикс_Санз	86.3333
124051	Ferrari	65531	Lamborghini	86.25
237087	Фердинанд_VII	1075937	Вооружённые_силы_Испании	86.0
5082209	Тендулкар,_Сачин	2798	Индия	86.0
33139	Шекспир,_Уильям	33342	По,_Эдгар_Аллан	86.0
21116	Гай_Юлий_Цезарь	65	Италия	85.8333
14109	Маркс,_Карл	3010	Сталин,_Иосиф_Виссарионович	85.75
1364361	Адель_(певица)	110	Великобритания	85.6667
29704	Мандела,_Нельсон	741562	Африканский_национальный_конгресс	85.6
15146	Рахманинов,_Сергей_Васильевич	17950	Бах,_Иоганн_Себастьян	85.1667
18296	Европейское_космическое_агентство	1454154	Индийская_организация_космических_исследований	84.8333
269148	Сеул	125553	Samsung_Electronics	84.8333
191832	Шетнер,_Уильям	665643	Такэй,_Джордж	84.1667
3958832	Condé_Nast	8713984	Virgin_Media	84.0
60388	Большой_каньон	386647	Колорадо_(река)	83.4
31852	Скалистые_горы	31851	Гималаи	82.2
93912	Паркс,_Роза	929160	Национальная_ассоциация_содействия_прогрессу_цветного_населения	81.6
1985834	Дом_Турбиных	71	Москва	80.8333
19339	Харрисон,_Джордж	71154	Ливерпуль	80.8
8218933	Аэрофлот_—_Российские_авиалинии	1538373	Air_Canada	80.8
1297486	Cirque_du_Soleil	4854225	Нью-Йорк_Сити_балет	80.5
199943	Гондор	168153	Назгулы	80.4
261478	Чжан_Цзыи	14398	Пекин	80.0
346925	Торонтский_университет	323341	Калифорнийский_университет_в_Беркли	79.5
933026	British_Airways	8218933	Аэрофлот_—_Российские_авиалинии	79.4
553861	Грант,_Кэри	191832	Шетнер,_Уильям	79.3333
1213671	Цяньлун	1352893	Цао_Цао	79.2
6318477	Венгерский_музей_естественной_истории	41623	Будапешт	79.1667
6062809	Юридический_факультет_Гарвардского_университета	182164	Лондонская_школа_экономики_и_политических_наук	78.8333
19050	Совет_Безопасности_ООН	145994	Всемирный_экономический_форум	78.75
1479095	Хан,_Шахрух	2674109	Баччан,_Абхишек	78.6667
26198	Дунай	21236	Темза	78.6
269220	Терон,_Шарлиз	311094	Гильдия_киноактёров_США	78.5
2853	Норвегия	184	Дания	77.6667
75	Волга	10036	Нил	77.2
1096927	Мифунэ,_Тосиро	86308	Куросава,_Акира	76.8333
2862	Пуэрто-Рико	2773	Куба	76.5
398743	Маттерхорн	11314	Джомолунгма	76.5
134369	Остин,_Джейн	33342	По,_Эдгар_Аллан	76.4
1415635	Американский_Красный_Крест	7780779	Американская_кардиологическая_ассоциация	76.4
2862	Пуэрто-Рико	638	Соединённые_Штаты_Америки	76.3333
4756	Иисус_Христос	2163535	Будда_Шакьямуни	76.25
2773	Куба	34210	Флорида	76.0
1479095	Хан,_Шахрух	52609	Мумбаи	76.0
3027	Троцкий,_Лев_Давидович	1456	Достоевский,_Фёдор_Михайлович	75.75
4108207	Современная_галерея_(Загреб)	41603	Загреб	75.75
53848	Барселона_(футбольный_клуб)	2478578	Сеул_(футбольный_клуб)	75.5
1469	Исландия	25338	Гренландия_(административная_единица)	74.8333
85294	Одиссей	11749	Олимп	74.8333
24602	Кинг,_Мартин_Лютер	93912	Паркс,_Роза	74.5
315093	Рэдклифф,_Дэниел	265426	Деймон,_Мэтт	74.25
256	Ленин,_Владимир_Ильич	138425	Большевики	74.2
5723	Путин,_Владимир_Владимирович	4289	Московский_метрополитен	74.0
4284299	Моди,_Нарендра	1454154	Индийская_организация_космических_исследований	74.0
3274786	Буркина-Фасо	2772	Демократическая_Республика_Конго	73.8333
294072	Али,_Мухаммед	747485	Всемирная_боксёрская_организация	73.3333
1944055	Динамо_(футбольный_клуб,_Воронеж)	1625848	Лестер_Сити	72.6667
5240	Швейцария	145994	Всемирный_экономический_форум	72.5
29438	Международное_агентство_по_атомной_энергии	19050	Совет_Безопасности_ООН	71.5
9	Россия	1944055	Динамо_(футбольный_клуб,_Воронеж)	70.75
22937	Уайльд,_Оскар	4362677	Энджелоу,_Майя	70.0
110	Великобритания	909602	Итонский_колледж	70.0
1390579	Стюарт,_Джон_(телеведущий)	2676758	Бек,_Гленн	69.5
770499	Американский_союз_защиты_гражданских_свобод	929160	Национальная_ассоциация_содействия_прогрессу_цветного_населения	69.4
4593	Рим	59885	Этна	69.2
118008	Дели	1454154	Индийская_организация_космических_исследований	69.1667
1198536	Шведская_королевская_академия_наук	1872476	Индийский_институт_технологии	69.0
81085	Уэльс	4938213	Кардиффский_университет	69.0
919747	Эрнхардт,_Дейл_(младший)	12842	Северная_Америка	68.8333
23772	Клинтон,_Билл	655748	Браун,_Гордон	68.8
223083	Бавария_(футбольный_клуб)	881310	Мюнхенский_технический_университет	68.5
9906	Калифорния	58862	Гавайи	67.8333
2823	Киргизия	6153	Турция	67.75
1318508	Королевские_военно-воздушные_силы_Австралии	173494	Военно-морской_флот_Российской_Федерации	67.5
12459	Всемирная_торговая_организация	182164	Лондонская_школа_экономики_и_политических_наук	67.5
107	Европа	171964	Манчестер_Юнайтед	67.5
911148	Сент-Хеленс	59198	Везувий	67.4
2799	Иран	1116	Афганистан	66.8
542963	Monsanto_Company	67534	Дюпон	66.8
7	Литва	15184	Республика_Косово	66.75
394708	Фред_Астер	1699855	Чэннинг,_Кэрол	66.3333
44939	Каир	10084	Токио	66.0
3884827	Оксфам	1415635	Американский_Красный_Крест	65.1667
271348	Ода_Нобунага	690306	Замок_Химэдзи	65.0
1118	Алжир	55	Франция	64.0
263411	Аффлек,_Бен	1554092	Доусон,_Розарио	63.75
87325	Эдип	107166	Спарта	63.4
41623	Будапешт	3184186	Румынская_академия	63.25
12459	Всемирная_торговая_организация	1001447	Министерство_внутренней_безопасности	63.0
48719	Прадо	3286	Барселона	62.4
8410590	Администрация_социального_обеспечения_США	6718276	Управление_по_делам_малого_бизнеса_(США)	62.4
1822	Белиз	1397	Португалия	62.0
