source_pid	source_ptitle	target_pid	target_ptitle	mean_score
31732	Ferrari	33577	Lamborghini	97.6
28466	Ronald_Reagan	688277	Barack_Obama	93.5
87188	Mount_St._Helens	88466	Wezuwiusz	93.0
251	Azja	864	Chińska_Republika_Ludowa	92.75
4866005	Galeria_Nowoczesna_w_Zagrzebiu	7123	Zagrzeb	92.25
1653405	Dinamo_Woroneż	484287	Leicester_City_F.C.	92.0
10842	Nowy_Jork	845047	New_York_Yankees	91.5
37202	Władimir_Putin	3875	Moskwa	91.4
4807400	Condé_Nast_Publications	1395984	Virgin_Media	90.8
12237	Irak	17496	Iran	90.8
42961	Góry_Skaliste	50169	Himalaje	90.75
63782	Kambodża	2730013	Czerwoni_Khmerzy	90.75
129346	Michael_Jordan	107172	National_Basketball_Association	90.0
67975	Luwr	1807644	Paryż	89.8
135197	Brad_Pitt	193691	Leonardo_DiCaprio	89.8
15726	Wołga	14606	Nil	89.75
44915	Włochy	44855	Francja	89.0
741236	Pasmo_Błękitne	4657407	Catskill_(góry)	88.8
425674	Uniwersytet_Techniczny_w_Monachium	1057562	Uniwersytet_w_Lipsku	88.75
3875	Moskwa	663262	Kreml_moskiewski	88.5
44834	Anglia	50898	University_of_Cambridge	86.75
43499	Europejska_Agencja_Kosmiczna	1568502	Indyjska_Organizacja_Badań_Kosmicznych	86.5
73028	Real_Madryt	84303	FC_Barcelona	86.5
4423	Oxfam	46161	Habitat_for_Humanity	86.5
57015	Bill_Clinton	703944	Gordon_Brown	86.4
87188	Mount_St._Helens	6760	Waszyngton_(stan)	86.25
84176	University_of_Toronto	548212	Uniwersytet_Kalifornijski_w_Berkeley	86.25
12577	Franklin_Delano_Roosevelt	28466	Ronald_Reagan	86.0
9576	Monachium	28817	Bayern_Monachium	85.6
67913	Tony_Blair	6647	Wielka_Brytania	85.4
45272	Rosja	662590	Metro_w_Moskwie	85.4
59556	British_Airways	190925	Aerofłot	85.4
95897	Muzea_Watykańskie	1762343	Kościół_katolicki	85.25
11088	Dunaj	11187	Tamiza	84.6
131479	Danielle_Steel	1396	Ernest_Hemingway	84.25
1743	Grecja	47564	Olimp	84.2
85113	Portoryko	14937	Kuba	83.2
102971	Maya_Angelou	1612346	Bell_hooks	81.6
1124	Dania	44854	Europa	81.0
421	Arystoteles	1743	Grecja	81.0
9782	Martin_Luther_King	94255	Rosa_Parks	80.6
8887	Karl_Marx	2620	Józef_Stalin	80.25
688277	Barack_Obama	166789	John_McCain	79.8
196533	Matterhorn	3839	Mount_Everest	79.75
22315	Lew_Trocki	644382	Fiodor_Dostojewski	79.4
117695	Daniel_Radcliffe	334904	Matt_Damon	78.5
3318582	Gondor	118030	Upiory_Pierścienia	77.8
2318	Islandia	47418	Grenlandia	77.75
192174	William_Shatner	549835	George_Takei	77.75
15726	Wołga	864061	Dniepr	76.0
2500165	American_Civil_Liberties_Union	503397	Krajowe_Stowarzyszenie_na_rzecz_Popierania_Ludności_Kolorowej	76.0
74269	Jane_Austen	35462	Edgar_Allan_Poe	75.5
50856	New_Jersey	282644	Uniwersytet_Princeton	75.25
110440	Iwan_IV_Groźny	45272	Rosja	75.0
254945	Lionel_Messi	2381321	Derek_Jeter	75.0
45826	Silvio_Berlusconi	28466	Ronald_Reagan	74.8
4028	Norwegia	1124	Dania	74.5
3009299	Heer	2490179	Armada_Española	74.5
688277	Barack_Obama	89827	Hillary_Clinton	74.25
2481	Jezus_Chrystus	188180	Budda_Siakjamuni	74.2
72846	Ben_Affleck	938278	Rosario_Dawson	74.0
63027	Hirohito	10005	Tokio	73.6
2703	Johann_Sebastian_Bach	20024	Claude_Debussy	73.0
17496	Iran	3378667	Uniwersytet_Teherański	72.2
27096	Singapur	40511	Laos	71.5
87527	Imperium_Osmańskie	6152	Turcja	71.2
204467	Muhammad_Ali_(amerykański_bokser)	284432	World_Boxing_Organization	71.0
543668	Ralph_Lauren	607269	Karl_Lagerfeld	70.5
1833	Gajusz_Juliusz_Cezar	18144	Armia_rzymska	69.75
2930	Kanada	47418	Grenlandia	69.75
64075	Siergiej_Rachmaninow	2703	Johann_Sebastian_Bach	69.25
1632687	Qianlong	1524656	Cao_Cao	69.2
254945	Lionel_Messi	255486	Wayne_Gretzky	68.75
254945	Lionel_Messi	65000	FIFA	68.6
24083	Pekin	40507	Jangcy	68.25
6647	Wielka_Brytania	467883	Eton_College	68.0
77666	Toshirō_Mifune	77375	Akira_Kurosawa	67.8
12512	Achilles	424	Ateny	67.75
6771	Włodzimierz_Lenin	70528	Bolszewicy	67.6
35234	Nepal	1934606	Sudan	67.5
312898	Shah_Rukh_Khan	67759	Fred_Astaire	67.4
157570	Ardźuna	10796	Indie	67.4
1497284	Sachin_Tendulkar	2789529	Ken_Griffey_Jr.	67.0
22590	George_Harrison	26259	Liverpool	67.0
6765	Walia	4926208	Cardiff_University	66.25
51638	Burkina_Faso	73981	Demokratyczna_Republika_Konga	65.8
964627	A.R._Rahman	1647119	John_Sousa	65.75
190925	Aerofłot	445564	Air_Canada	65.75
74542	Kirgistan	6152	Turcja	65.2
1758	Gwatemala	1306	Dominikana	65.0
6423	Ukraina	44877	Litwa	65.0
18240	Kalifornia	2103	Hawaje	64.75
72239	Lyndon_B._Johnson	45305	John_Kerry	64.75
44854	Europa	73027	Manchester_United_F.C.	64.75
18861	Woodrow_Wilson	58153	Jimmy_Carter	64.5
1333749	Adele	6647	Wielka_Brytania	64.5
1612346	Bell_hooks	71152	Ayn_Rand	64.5
67975	Luwr	18658	Prado	64.25
72333	Julia_Roberts	1430998	Lady_Gaga	64.0
14088	Abraham_Lincoln	4191	Napoleon_Bonaparte	64.0
4633755	David_Sedaris	229161	Buster_Keaton	63.4
9259	Algieria	44855	Francja	63.0
44877	Litwa	117980	Kosowo	62.75
4294775	Harvard_Law_School	96051	London_School_of_Economics	62.25
17555	Marilyn_Monroe	135197	Brad_Pitt	62.25
37202	Władimir_Putin	662590	Metro_w_Moskwie	62.2
17496	Iran	44827	Afganistan	62.0
46535	Michał_Anioł	1762343	Kościół_katolicki	61.8
405603	Zamek_Himeji	2477	Japonia	61.75
31733	Kleopatra	54709	Ramzes_II	61.75
314954	Richard_Pryor	978469	Cary_Grant	61.6
1624563	New_York_City_Ballet	1285886	London_Symphony_Orchestra	61.4
67759	Fred_Astaire	1284064	Carol_Channing	61.25
85113	Portoryko	5603	Stany_Zjednoczone	61.25
67913	Tony_Blair	83143	John_F._Kennedy	60.75
3875	Moskwa	15726	Wołga	60.5
314774	Ferdynand_VII	470660	Siły_Zbrojne_Hiszpanii	60.25
312898	Shah_Rukh_Khan	341054	Abhishek_Bachchan	60.0
510326	Royal_Australian_Air_Force	1540712	Rosyjska_marynarka_wojenna	59.8
14937	Kuba	1567	Floryda	59.75
9360	Kair	10005	Tokio	59.75
4222	Oscar_Wilde	102971	Maya_Angelou	59.75
132793	Wielki_Kanion_Kolorado	275925	Kolorado_(rzeka)	59.5
44915	Włochy	383481	Wzgórze_Watykańskie	59.4
72957	Zhang_Ziyi	24083	Pekin	59.2
18737	William_Shakespeare	35462	Edgar_Allan_Poe	59.0
27917	Król_Artur	44834	Anglia	58.75
312898	Shah_Rukh_Khan	42609	Mumbaj	58.75
1497284	Sachin_Tendulkar	10796	Indie	58.25
9578	Seul	614679	Samsung_Electronics	57.5
700279	James_Earl_Jones	117785	Angelina_Jolie	57.5
3342	Londyn	2681180	Komunistyczna_Partia_Wielkiej_Brytanii	57.0
1266202	BBC_Worldwide	4807400	Condé_Nast_Publications	56.8
9576	Monachium	11088	Dunaj	55.25
644382	Fiodor_Dostojewski	131928	Dean_Koontz	54.75
22315	Lew_Trocki	40227	Oliver_Cromwell	54.4
42262	Ghana	44855	Francja	54.0
18658	Prado	9280	Barcelona	53.6
25196	Jimi_Hendrix	1647119	John_Sousa	52.6
978469	Cary_Grant	192174	William_Shatner	52.5
127527	Zinédine_Zidane	201119	Paris_Saint-Germain_F.C.	52.5
6647	Wielka_Brytania	8922	Etiopia	52.25
82423	Kongo_(rzeka)	42763	Nigeria	51.0
510326	Royal_Australian_Air_Force	1110598	Cayman_Airways	50.75
1833	Gajusz_Juliusz_Cezar	44915	Włochy	50.25
6647	Wielka_Brytania	44038	Barbados	50.25
45305	John_Kerry	87565	Dick_Cheney	50.0
5240	Rzym	632372	Etna	50.0
115366	Jeremy_Clarkson	1266202	BBC_Worldwide	49.8
40514	Kanton_(Chiny)	57470	Lagos	49.8
703944	Gordon_Brown	72239	Lyndon_B._Johnson	49.6
4423	Oxfam	1935373	Amerykański_Czerwony_Krzyż	49.5
63052	Anton_Czechow	4222	Oscar_Wilde	49.4
94255	Rosa_Parks	503397	Krajowe_Stowarzyszenie_na_rzecz_Popierania_Ludności_Kolorowej	49.4
1833	Gajusz_Juliusz_Cezar	25469	Nefertiti	49.25
57785	Delhi	1568502	Indyjska_Organizacja_Badań_Kosmicznych	49.0
334866	Aishwarya_Rai	610017	Screen_Actors_Guild	48.8
42609	Mumbaj	27096	Singapur	48.6
11138	Odyseusz	47564	Olimp	48.5
42441	Frank_Zappa	4785551	The_Mothers_of_Invention	48.25
8922	Etiopia	87527	Imperium_Osmańskie	48.25
25196	Jimi_Hendrix	1034054	George_Carlin	47.75
44834	Anglia	377	Amnesty_International	47.75
186028	Pałac_wersalski	74254	Zakazane_Miasto	47.0
5532	Szwajcaria	33411	Światowe_Forum_Ekonomiczne	46.25
8887	Karl_Marx	545689	Partia_Pracujących_Kurdystanu	45.6
87527	Imperium_Osmańskie	45272	Rosja	44.75
63083	Nelson_Mandela	71130	Afrykański_Kongres_Narodowy	44.0
41328	Wielcy_Mogołowie	17496	Iran	43.5
3489	Ludwig_van_Beethoven	551	Berlin	43.5
177922	Cirque_du_Soleil	1624563	New_York_City_Ballet	43.5
17845	Katarzyna_II_Wielka	118284	Nobunaga_Oda	43.0
903116	Ural	1658506	Rzeka_Perłowa	42.2
1833	Gajusz_Juliusz_Cezar	5672	Sofokles	42.0
54380	Tallinn	3875	Moskwa	42.0
312898	Shah_Rukh_Khan	629994	New_Line_Cinema	41.6
3839	Mount_Everest	1839286	Grand_Teton	41.0
2392	IBM	32335	Monsanto	40.8
1632687	Qianlong	46141	Filip_II_Habsburg	40.4
42607	Kolkata	34135	Edynburg	40.2
67584	Fidżi	11547	Tunezja	40.2
45272	Rosja	6605	Warszawa	38.5
71323	Belize	4555	Portugalia	38.0
416531	Tennessee_Williams	355349	Doris_Day	37.75
32335	Monsanto	365579	Dupont	37.25
14088	Abraham_Lincoln	2143198	Rand_Paul	37.25
268711	Międzynarodowa_Agencja_Energii_Atomowej	35653	Rada_Bezpieczeństwa_Organizacji_Narodów_Zjednoczonych	36.8
9576	Monachium	1057562	Uniwersytet_w_Lipsku	36.25
6649	Węgry	44827	Afganistan	36.0
2552	J.R.R._Tolkien	1332042	Stan_Lee	35.4
67759	Fred_Astaire	604540	Ballets_Russes	35.2
4372822	Sparta_(polis)	95897	Muzea_Watykańskie	35.2
115708	Karaczi	16081	Kijów	34.75
9360	Kair	12237	Irak	34.6
6771	Włodzimierz_Lenin	190925	Aerofłot	34.2
110440	Iwan_IV_Groźny	6450	Uzbekistan	33.8
40514	Kanton_(Chiny)	1095194	Bank_Ludowy_Chin	33.5
188180	Budda_Siakjamuni	9115	Bangkok	33.4
903116	Ural	15726	Wołga	33.25
12492	John_Lennon	312898	Shah_Rukh_Khan	33.25
