source_pid	source_ptitle	target_pid	target_ptitle	mean_score
4055	مسکو	48659	کرملین_مسکو	100.0
164288	ولادیمیر_پوتین	4055	مسکو	98.8333
11222	آسیا	6735	چین	97.4
7134	یونان	155034	المپ	96.8
157268	ژولیوس_سزار	3681061	ارتش_روم	96.75
79717	لوور	18094	پاریس	96.6667
3500434	ایوان_چهارم	4048	روسیه	96.3333
8231	دجله	4557	فرات	96.2
4679	مونیخ	24815	باشگاه_فوتبال_بایرن_مونیخ	95.8
4048	روسیه	421209	متروی_مسکو	95.1667
22974	رود_ولگا	112150	رود_دنیپر	94.75
28283	نیویورک	158273	نیویورک_یانکیز	94.6667
1224717	کوه_سنت_هلن	6763	واشینگتن_(ایالت)	94.4
57764	کلئوپاترا	68193	رامسس_دوم	94.0
234317	قلعه_هیمه‌جی	2998	ژاپن	93.25
14021	مایکل_جردن	155383	اتحادیه_ملی_بسکتبال	93.0
1428	عراق	163930	ایران	93.0
163930	ایران	6791	دانشگاه_تهران	93.0
401965	جرمی_کلارکسون	3725149	بی‌بی‌سی_جهانی	92.5
351039	هیروهیتو	6915	توکیو	92.0
7926	انگلستان	39003	دانشگاه_کمبریج	92.0
42549	باشگاه_فوتبال_رئال_مادرید	6753	باشگاه_فوتبال_بارسلونا	91.8333
6810	نیوجرسی	14232	دانشگاه_پرینستون	91.8
122686	باراک_اوباما	22855	هیلاری_کلینتون	91.6
96168	لیونل_مسی	17986	فیفا	90.6667
122686	باراک_اوباما	173669	جان_مک‌کین	89.6667
23703	تونی_بلر	6957	بریتانیا	89.6667
14167	رونالد_ریگان	122686	باراک_اوباما	89.5
314374	شاه_آرتور	7926	انگلستان	88.8333
2499339	رالف_لورن	252572	کارل_لاگرفلد	88.1667
4749684	آشیل	19733	آتن	88.0
14159	فرانکلین_دلانو_روزولت	14167	رونالد_ریگان	88.0
221573	موزه‌های_واتیکان	366441	کلیسای_کاتولیک	87.8
2634	ارسطو	7134	یونان	87.5
40511	وودرو_ویلسون	14166	جیمی_کارتر	86.8333
4055	مسکو	22974	رود_ولگا	86.8333
41485	برد_پیت	27457	لئوناردو_دی‌کاپریو	86.8
2701	جان_کری	58959	دیک_چینی	86.6
7181	دانمارک	7204	اروپا	86.5
200945	فراری	281355	لامبورگینی	86.25
2404826	فرناندو_هفتم	651012	نیروهای_نظامی_اسپانیا	86.0
3272911	سچین_تندولکر	7567	هند	86.0
146357	ویلیام_شکسپیر	29550	ادگار_آلن_پو	86.0
157268	ژولیوس_سزار	2209	ایتالیا	85.8333
4058	کارل_مارکس	7236	ژوزف_استالین	85.75
622426	ادل	6957	بریتانیا	85.6667
54246	نلسون_ماندلا	325258	کنگره_ملی_آفریقا	85.6
54016	سرگئی_راخمانینف	18019	یوهان_سباستیان_باخ	85.1667
