	source_pid	source_ptitle	target_pid	target_ptitle	mean_score	source_ptitle_de	target_ptitle_de	source_ptitle_fa	target_ptitle_fa	source_ptitle_fr	target_ptitle_fr	source_ptitle_it	target_ptitle_it	source_ptitle_ja	target_ptitle_ja	source_ptitle_pl	target_ptitle_pl	source_ptitle_ru	target_ptitle_ru
0	11225	Ferrari	18271	Lamborghini	97.6	Ferrari	Lamborghini	فراری	لامبورگینی	Ferrari_(entreprise)	Lamborghini	Ferrari	Lamborghini	フェラーリ	ランボルギーニ	Ferrari	Lamborghini	Ferrari	Lamborghini
1	1259006	River_Kent	49031	River_Thames	93.6	River_Kent	Themse		تیمز	Kent_(fleuve)	Tamise		Tamigi		テムズ川		Tamiza		Темза
2	25433	Ronald_Reagan	534366	Barack_Obama	93.5	Ronald_Reagan	Barack_Obama	رونالد_ریگان	باراک_اوباما	Ronald_Reagan	Barack_Obama	Ronald_Reagan	Barack_Obama	ロナルド・レーガン	バラク・オバマ	Ronald_Reagan	Barack_Obama	Рейган,_Рональд	Обама,_Барак
3	36649	Mount_St._Helens	46817	Mount_Vesuvius	93.0	Mount_St._Helens	Vesuv	کوه_سنت_هلن	وزوو	Mont_Saint_Helens	Vésuve	Monte_Saint_Helens	Vesuvio	セント・ヘレンズ山	ヴェスヴィオ	Mount_St._Helens	Wezuwiusz	Сент-Хеленс	Везувий
4	689	Asia	5405	China	92.75	Asien	Volksrepublik_China	آسیا	چین	Asie	Chine	Asia	Cina	アジア	中華人民共和国	Azja	Chińska_Republika_Ludowa	Азия	Китай
5	29130717	Modern_Gallery,_Zagreb	55906	Zagreb	92.25		Zagreb		زاگرب		Zagreb	Galleria_d'arte_moderna_di_Zagabria	Zagabria		ザグレブ	Galeria_Nowoczesna_w_Zagrzebiu	Zagrzeb	Современная_галерея_(Загреб)	Загреб
6	23815630	FC_Dynamo_Voronezh	298602	Leicester_City_F.C.	92.0		Leicester_City		باشگاه_فوتبال_لستر_سیتی		Leicester_City_Football_Club		Leicester_City_Football_Club		レスター・シティFC	Dinamo_Woroneż	Leicester_City_F.C.	Динамо_(футбольный_клуб,_Воронеж)	Лестер_Сити
7	645042	New_York_City	4848143	New_York_Yankees	91.5	New_York_City	New_York_Yankees	نیویورک	نیویورک_یانکیز	New_York	Yankees_de_New_York	New_York	New_York_Yankees	ニューヨーク	ニューヨーク・ヤンキース	Nowy_Jork	New_York_Yankees	Нью-Йорк	Нью-Йорк_Янкис
8	32817	Vladimir_Putin	19004	Moscow	91.4	Wladimir_Wladimirowitsch_Putin	Moskau	ولادیمیر_پوتین	مسکو	Vladimir_Poutine	Moscou	Vladimir_Putin	Mosca_(Russia)	ウラジーミル・プーチン	モスクワ	Władimir_Putin	Moskwa	Путин,_Владимир_Владимирович	Москва
9	891158	Condé_Nast	3329087	Virgin_Media	90.8	Condé_Nast-Verlag		کوندی_نست	ویرجین_مدیا	Condé_Nast_Publications	Virgin_Media	Condé_Nast_Publications	Virgin_Media	コンデナスト・パブリケーションズ	ヴァージン・メディア	Condé_Nast_Publications	Virgin_Media	Condé_Nast	Virgin_Media
10	7515928	Iraq	14653	Iran	90.8	Irak	Iran	عراق	ایران	Irak	Iran	Iraq	Iran	イラク	イラン	Irak	Iran	Ирак	Иран
11	25459	Rocky_Mountains	37966	Himalayas	90.75	Rocky_Mountains	Himalaya	کوه‌های_راکی	هیمالیا	Montagnes_Rocheuses	Himalaya	Montagne_Rocciose	Himalaya	ロッキー山脈	ヒマラヤ山脈	Góry_Skaliste	Himalaje	Скалистые_горы	Гималаи
12	334751	Cambodia	17049	Khmer_Rouge	90.75	Kambodscha	Rote_Khmer	کامبوج	خمرهای_سرخ	Cambodge	Khmers_rouges	Cambogia	Khmer_rossi	カンボジア	クメール・ルージュ	Kambodża	Czerwoni_Khmerzy	Камбоджа	Красные_кхмеры
