	source_pid	source_ptitle	target_pid	target_ptitle	mean_score	source_ptitle_de	target_ptitle_de	source_ptitle_fa	target_ptitle_fa	source_ptitle_fr	target_ptitle_fr	source_ptitle_it	target_ptitle_it	source_ptitle_ja	target_ptitle_ja	source_ptitle_pl	target_ptitle_pl	source_ptitle_ru	target_ptitle_ru
0	19004	Moscow	381075	Moscow_Kremlin	100.0	Moskau	Moskauer_Kreml	مسکو	کرملین_مسکو	Moscou	Kremlin_de_Moscou	Mosca_(Russia)	Cremlino_di_Mosca	モスクワ	クレムリン	Moskwa	Kreml_moskiewski	Москва	Московский_Кремль
1	32817	Vladimir_Putin	19004	Moscow	98.8333	Wladimir_Wladimirowitsch_Putin	Moskau	ولادیمیر_پوتین	مسکو	Vladimir_Poutine	Moscou	Vladimir_Putin	Mosca_(Russia)	ウラジーミル・プーチン	モスクワ	Władimir_Putin	Moskwa	Путин,_Владимир_Владимирович	Москва
2	961213	Shanghai_Art_Museum	27643	Shanghai	98.4	Kunstmuseum_Shanghai	Shanghai		شانگهای	Musée_des_Beaux-Arts_de_Shanghai	Shanghai		Shanghai	上海美術館	上海市		Szanghaj	Шанхайский_художественный_музей	Шанхай
3	689	Asia	5405	China	97.4	Asien	Volksrepublik_China	آسیا	چین	Asie	Chine	Asia	Cina	アジア	中華人民共和国	Azja	Chińska_Republika_Ludowa	Азия	Китай
4	12108	Greece	12418604	Mount_Olympus	96.8	Griechenland	Olymp	یونان	المپ	Grèce	Mont_Olympe	Grecia	Olimpo	ギリシャ	オリンポス山	Grecja	Olimp	Греция	Олимп
5	15924	Julius_Caesar	753281	Roman_army	96.75	Gaius_Iulius_Caesar		ژولیوس_سزار	ارتش_روم	Jules_César	Armée_romaine	Gaio_Giulio_Cesare	Esercito_romano	ガイウス・ユリウス・カエサル	ローマ軍	Gajusz_Juliusz_Cezar	Armia_rzymska	Гай_Юлий_Цезарь	Древнеримская_армия
6	17546	Louvre	22989	Paris	96.6667	Louvre	Paris	لوور	پاریس	Musée_du_Louvre	Paris	Museo_del_Louvre	Parigi	ルーヴル美術館	パリ	Luwr	Paryż	Лувр	Париж
7	70718	Ivan_the_Terrible	25391	Russia	96.3333	Iwan_IV._(Russland)	Russland	ایوان_چهارم	روسیه	Ivan_le_Terrible	Russie	Ivan_IV_di_Russia	Russia	イヴァン4世	ロシア	Iwan_IV_Groźny	Rosja	Иван_Грозный	Россия
8	31259	Tigris	10221	Euphrates	96.2	Tigris	Euphrat	دجله	فرات	Tigre_(fleuve)	Euphrate	Tigri	Eufrate	ティグリス川	ユーフラテス川	Tygrys_(rzeka)	Eufrat	Тигр_(река)	Евфрат
9	19058	Munich	172326	FC_Bayern_Munich	95.8	München	FC_Bayern_München	مونیخ	باشگاه_فوتبال_بایرن_مونیخ	Munich	Bayern_Munich	Monaco_di_Baviera	Fußball-Club_Bayern_München	ミュンヘン	FCバイエルン・ミュンヘン	Monachium	Bayern_Monachium	Мюнхен	Бавария_(футбольный_клуб)
10	25391	Russia	66488	Moscow_Metro	95.1667	Russland	Metro_Moskau	روسیه	متروی_مسکو	Russie	Métro_de_Moscou	Russia	Metropolitana_di_Mosca	ロシア	モスクワ地下鉄	Rosja	Metro_w_Moskwie	Россия	Московский_метрополитен
11	63639	Volga	380138	Dnieper	94.75	Wolga	Dnepr	رود_ولگا	رود_دنیپر	Volga	Dniepr	Volga	Dnepr	ヴォルガ川	ドニエプル川	Wołga	Dniepr	Волга	Днепр
12	645042	New_York_City	4848143	New_York_Yankees	94.6667	New_York_City	New_York_Yankees	نیویورک	نیویورک_یانکیز	New_York	Yankees_de_New_York	New_York	New_York_Yankees	ニューヨーク	ニューヨーク・ヤンキース	Nowy_Jork	New_York_Yankees	Нью-Йорк	Нью-Йорк_Янкис
13	36649	Mount_St._Helens	13015878	Washington_(state)	94.4	Mount_St._Helens	Washington_(Bundesstaat)	کوه_سنت_هلن	واشینگتن_(ایالت)	Mont_Saint_Helens	Washington_(État)	Monte_Saint_Helens	Washington_(stato)	セント・ヘレンズ山	ワシントン州	Mount_St._Helens	Waszyngton_(stan)	Сент-Хеленс	Вашингтон_(штат)
14	60827	Cleopatra	21476519	Ramesses_II	94.0	Kleopatra_VII.	Ramses_II.	کلئوپاترا	رامسس_دوم	Cléopâtre_VII	Ramsès_II	Cleopatra	Ramses_II	クレオパトラ7世	ラムセス2世	Kleopatra	Ramzes_II	Клеопатра	Рамсес_II
15	180542	Himeji_Castle	15573	Japan	93.25	Burg_Himeji	Japan	قلعه_هیمه‌جی	ژاپن	Château_de_Himeji	Japon	Castello_di_Himeji	Giappone	姫路城	日本	Zamek_Himeji	Japonia	Замок_Химэдзи	Япония
16	20455	Michael_Jordan	22093	National_Basketball_Association	93.0	Michael_Jordan	National_Basketball_Association	مایکل_جردن	اتحادیه_ملی_بسکتبال	Michael_Jordan	National_Basketball_Association	Michael_Jordan	NBA	マイケル・ジョーダン	NBA	Michael_Jordan	National_Basketball_Association	Джордан,_Майкл	Национальная_баскетбольная_ассоциация
17	7515928	Iraq	14653	Iran	93.0	Irak	Iran	عراق	ایران	Irak	Iran	Iraq	Iran	イラク	イラン	Irak	Iran	Ирак	Иран
18	14653	Iran	159999	University_of_Tehran	93.0	Iran	Universität_Teheran	ایران	دانشگاه_تهران	Iran	Université_de_Téhéran	Iran	Università_di_Teheran	イラン	テヘラン大学	Iran	Uniwersytet_Teherański	Иран	Тегеранский_университет
19	265586	Jeremy_Clarkson	581172	BBC_Worldwide	92.5	Jeremy_Clarkson		جرمی_کلارکسون	بی‌بی‌سی_جهانی	Jeremy_Clarkson	BBC_Worldwide	Jeremy_Clarkson	BBC_Worldwide	ジェレミー・クラークソン	BBCワールドワイド	Jeremy_Clarkson	BBC_Worldwide	Кларксон,_Джереми	
