source_pid	source_ptitle	target_pid	target_ptitle	mean_score
124051	Ferrari	65531	Lamborghini	97.6
145324	Рейган,_Рональд	59078	Обама,_Барак	93.5
911148	Сент-Хеленс	59198	Везувий	93.0
109	Азия	1134	Китай	92.75
4108207	Современная_галерея_(Загреб)	41603	Загреб	92.25
1944055	Динамо_(футбольный_клуб,_Воронеж)	1625848	Лестер_Сити	92.0
2478	Нью-Йорк	786334	Нью-Йорк_Янкис	91.5
5723	Путин,_Владимир_Владимирович	71	Москва	91.4
3958832	Condé_Nast	8713984	Virgin_Media	90.8
2800	Ирак	2799	Иран	90.8
31852	Скалистые_горы	31851	Гималаи	90.75
2777	Камбоджа	137578	Красные_кхмеры	90.75
131837	Джордан,_Майкл	267910	Национальная_баскетбольная_ассоциация	90.0
50641	Лувр	6214	Париж	89.8
138382	Питт,_Брэд	35157	Ди_Каприо,_Леонардо	89.8
75	Волга	10036	Нил	89.75
65	Италия	55	Франция	89.0
3533763	Голубой_хребет	791457	Катскилл_(горы)	88.8
881310	Мюнхенский_технический_университет	919108	Лейпцигский_университет	88.75
71	Москва	39485	Московский_Кремль	88.5
10342	Англия	74819	Кембриджский_университет	86.75
18296	Европейское_космическое_агентство	1454154	Индийская_организация_космических_исследований	86.5
17205	Реал_Мадрид_(футбольный_клуб)	53848	Барселона_(футбольный_клуб)	86.5
3884827	Оксфам	5046876	Habitat_for_Humanity_International	86.5
23772	Клинтон,_Билл	655748	Браун,_Гордон	86.4
911148	Сент-Хеленс	78234	Вашингтон_(штат)	86.25
346925	Торонтский_университет	323341	Калифорнийский_университет_в_Беркли	86.25
24676	Рузвельт,_Франклин_Делано	145324	Рейган,_Рональд	86.0
2881	Мюнхен	223083	Бавария_(футбольный_клуб)	85.6
53599	Блэр,_Тони	110	Великобритания	85.4
9	Россия	4289	Московский_метрополитен	85.4
933026	British_Airways	8218933	Аэрофлот_—_Российские_авиалинии	85.4
623469	Музеи_Ватикана	54900	Католическая_церковь	85.25
26198	Дунай	21236	Темза	84.6
1123389	Стил,_Даниэла	30667	Хемингуэй,_Эрнест	84.25
60	Греция	11749	Олимп	84.2
2862	Пуэрто-Рико	2773	Куба	83.2
1390579	Стюарт,_Джон_(телеведущий)	2676758	Бек,_Гленн	81.75
4362677	Энджелоу,_Майя	5173921	Белл_хукс	81.6
184	Дания	107	Европа	81.0
1218	Аристотель	60	Греция	81.0
24602	Кинг,_Мартин_Лютер	93912	Паркс,_Роза	80.6
14109	Маркс,_Карл	3010	Сталин,_Иосиф_Виссарионович	80.25
59078	Обама,_Барак	59085	Маккейн,_Джон	79.8
398743	Маттерхорн	11314	Джомолунгма	79.75
3027	Троцкий,_Лев_Давидович	1456	Достоевский,_Фёдор_Михайлович	79.4
315093	Рэдклифф,_Дэниел	265426	Деймон,_Мэтт	78.5
199943	Гондор	168153	Назгулы	77.8
1469	Исландия	25338	Гренландия_(административная_единица)	77.75
191832	Шетнер,_Уильям	665643	Такэй,_Джордж	77.75
3903840	Шанхай_Шаркс	355273	Финикс_Санз	76.4
75	Волга	21246	Днепр	76.0
770499	Американский_союз_защиты_гражданских_свобод	929160	Национальная_ассоциация_содействия_прогрессу_цветного_населения	76.0
134369	Остин,_Джейн	33342	По,_Эдгар_Аллан	75.5
1415635	Американский_Красный_Крест	7780779	Американская_кардиологическая_ассоциация	75.5
93364	Нью-Джерси	47597	Принстонский_университет	75.25
3105770	Шанхайский_художественный_музей	14545	Шанхай	75.2
1198536	Шведская_королевская_академия_наук	1872476	Индийский_институт_технологии	75.2
550	Иван_Грозный	9	Россия	75.0
245418	Месси,_Лионель	5403339	Джитер,_Дерек	75.0
53598	Берлускони,_Сильвио	145324	Рейган,_Рональд	74.8
2853	Норвегия	184	Дания	74.5
1652674	Сухопутные_войска_Германии	1588173	Военно-морские_силы_Испании	74.5
1985834	Дом_Турбиных	71	Москва	74.25
59078	Обама,_Барак	59631	Клинтон,_Хиллари	74.25
4756	Иисус_Христос	2163535	Будда_Шакьямуни	74.2
263411	Аффлек,_Бен	1554092	Доусон,_Розарио	74.0
12702	Хирохито	10084	Токио	73.6
17950	Бах,_Иоганн_Себастьян	205542	Дебюсси,_Клод	73.0
2799	Иран	1099968	Тегеранский_университет	72.2
9173	Сингапур	2824	Лаос	71.5
45832	Османская_империя	6153	Турция	71.2
294072	Али,_Мухаммед	747485	Всемирная_боксёрская_организация	71.0
1263129	Лорен,_Ральф	776549	Лагерфельд,_Карл	70.5
21116	Гай_Юлий_Цезарь	46856	Древнеримская_армия	69.75
1132	Канада	25338	Гренландия_(административная_единица)	69.75
15146	Рахманинов,_Сергей_Васильевич	17950	Бах,_Иоганн_Себастьян	69.25
1213671	Цяньлун	1352893	Цао_Цао	69.2
245418	Месси,_Лионель	146000	Гретцки,_Уэйн	68.75
245418	Месси,_Лионель	148098	ФИФА	68.6
1597302	Национальная_ассоциация_студенческого_спорта	4929748	Олимпийский_и_паралимпийский_комитет_США	68.6
14398	Пекин	102051	Янцзы	68.25
110	Великобритания	909602	Итонский_колледж	68.0
1096927	Мифунэ,_Тосиро	86308	Куросава,_Акира	67.8
53701	Ахилл	18321	Афины	67.75
256	Ленин,_Владимир_Ильич	138425	Большевики	67.6
2850	Непал	9008	Судан	67.5
1479095	Хан,_Шахрух	394708	Фред_Астер	67.4
226882	Арджуна	2798	Индия	67.4
5082209	Тендулкар,_Сачин	4785218	Гриффи,_Кен_(младший)	67.0
19339	Харрисон,_Джордж	71154	Ливерпуль	67.0
81085	Уэльс	4938213	Кардиффский_университет	66.25
3274786	Буркина-Фасо	2772	Демократическая_Республика_Конго	65.8
1867917	Рахман,_Алла_Ракха	2086970	Суза,_Джон_Филип	65.75
8218933	Аэрофлот_—_Российские_авиалинии	1538373	Air_Canada	65.75
2823	Киргизия	6153	Турция	65.2
1136	Гватемала	2780	Доминиканская_Республика	65.0
732	Украина	7	Литва	65.0
9906	Калифорния	58862	Гавайи	64.75
179466	Джонсон,_Линдон	361543	Керри,_Джон	64.75
107	Европа	171964	Манчестер_Юнайтед	64.75
180117	Вильсон,_Вудро	163565	Картер,_Джимми	64.5
1364361	Адель_(певица)	110	Великобритания	64.5
5173921	Белл_хукс	269342	Айн_Рэнд	64.5
50641	Лувр	48719	Прадо	64.25
52810	Робертс,_Джулия	1578643	Леди_Гага	64.0
63315	Линкольн,_Авраам	26555	Наполеон_I	64.0
655380	Черчилль,_Уинстон	179466	Джонсон,_Линдон	63.4
8566454	Седарис,_Дэвид	122651	Китон,_Бастер	63.4
8410590	Администрация_социального_обеспечения_США	6718276	Управление_по_делам_малого_бизнеса_(США)	63.0
1118	Алжир	55	Франция	63.0
7	Литва	15184	Республика_Косово	62.75
6062809	Юридический_факультет_Гарвардского_университета	182164	Лондонская_школа_экономики_и_политических_наук	62.25
88489	Мэрилин_Монро	138382	Питт,_Брэд	62.25
5723	Путин,_Владимир_Владимирович	4289	Московский_метрополитен	62.2
2799	Иран	1116	Афганистан	62.0
17605	Микеланджело	54900	Католическая_церковь	61.8
690306	Замок_Химэдзи	1472	Япония	61.75
90857	Клеопатра	46841	Рамсес_II	61.75
1996118	Прайор,_Ричард	553861	Грант,_Кэри	61.6
